"Division","District/City","Total","Division","%"
"Dhaka","Dhaka City","2060","2060","50.60%"
"","Dhaka (District)","64","1442","35.42%"
"","Gazipur","294","",""
"","Kishoreganj","180","",""
"","Madaripur","28","",""
"","Manikganj","12","",""
"","Narayanganj","566","",""
"","Munshigonj","63","",""
"","Narshingdi","141","",""
"","Rajbari","11","",""
"","Faridpur","8","",""
"","Tangail","21","",""
"","Shariatpur","11","",""
"","Gopalganj","43","",""
"Chattogram","Chattogram","45","156","3.83%"
"","Coxâ€™s bazar","6","",""
"","Cumilla","32","",""
"","B. Baria","25","",""
"","Laksmipur","27","",""
"","Bandarban","4","",""
"","Noakhali","4","",""
"","Feni","3","",""
"","Chandpur","10","",""
"Sylhet","Moulovi Bazar","4","49","1.20%"
"","Sunamganj","13","",""
"","Hobiganj","21","",""
"","Sylhet","11","",""
"Rangpur","Rangpur","15","70","1.72%"
"","Gaibandha","14","",""
"","Nilphamari","10","",""
"","Lalmonirhat","2","",""
"","Kurigram","5","",""
"","Dinajpur","13","",""
"","Panchagar","3","",""
"","Thakurgaon","8","",""
"Khulna","Khulna","7","38","0.93%"
"","Jessore","7","",""
"","Bagerhat","1","",""
"","Narail","7","",""
"","Magura","2","",""
"","Meherpur","2","",""
"","Kushtia","4","",""
"","Chuadanga","8","",""
"Mymensingh","Mymensingh","68","139","3.41%"
"","Jamalpur","30","",""
"","Netrokona","22","",""
"","Sherpur","19","",""
"Barishal","Barguna","23","86","2.11%"
"","Bhola","2","",""
"","Barishal","35","",""
"","Potuakhali","16","",""
"","Pirojpur","5","",""
"","Jhalokathi","5","",""
"Rajshahi","Joypurhat","4","32","0.79%"
"","Pabna","3","",""
"","Chapainawabganj","1","",""
"","Bogra","10","",""
"","Naogaon","2","",""
"","Sirajganj","2","",""
"","Rajshahi","9","",""
